83	5	5	650	660	3384	2634	0.56231306081755
84	5	6	920	931	3965	2017	0.66282179872952
85	5	8	710	723	4189	1820	0.69712098518888
86	1	6	770	777	2276	3928	0.36686009026435
87	3	8	450	461	3116	2748	0.53137789904502
88	6	5	150	161	2560	3269	0.43918339337794
89	6	2	750	758	2983	3034	0.49576200764501
90	6	4	350	360	2663	3344	0.44331613118029
91	6	4	550	560	3072	2977	0.50785253760952
92	2	7	360	369	2533	3542	0.41695473251029
93	6	5	350	361	2984	2986	0.4998324958124
94	4	3	660	667	2633	3465	0.43178091177435
95	3	8	250	261	2981	3055	0.49387011265739
96	5	6	930	941	4039	2025	0.66606200527704
97	2	4	180	186	1881	4044	0.31746835443038
98	3	10	50	63	3032	2896	0.5114709851552
99	6	5	920	931	4031	2063	0.66147029865441
100	5	5	550	560	3156	2888	0.52217074784911
101	1	7	270	278	2179	3851	0.36135986733002
102	5	7	440	452	3461	2556	0.57520358982882
103	3	4	560	567	2459	3595	0.40617773372977
104	7	6	150	163	2976	2974	0.50016806722689
105	1	5	80	86	2002	4197	0.32295531537345
106	2	4	180	186	1978	4071	0.32699619771863
107	7	5	150	162	2709	3121	0.46466552315609
108	4	1	860	865	2618	3428	0.43301356268607
109	6	3	170	179	2258	3817	0.37168724279835
110	7	4	160	171	2467	3467	0.41573980451635
111	4	3	370	377	2205	3797	0.36737754081973
112	3	3	470	476	2203	3725	0.37162618083671
113	4	4	950	958	3288	2837	0.53681632653061
114	1	8	70	79	2320	3738	0.38296467481017
115	6	9	320	335	4020	2051	0.66216438807445
116	6	9	900	915	4771	1164	0.80387531592249
117	7	5	920	932	4194	1800	0.6996996996997
118	3	9	50	62	2982	3136	0.48741418764302
119	6	6	50	62	2782	3132	0.47040919851201
120	5	9	520	534	4056	1936	0.67690253671562
121	2	1	90	93	1562	4458	0.25946843853821
122	4	3	560	567	2456	3436	0.41683638832315
123	5	5	930	940	3760	2206	0.63023801542072
124	4	2	570	576	2368	3664	0.39257294429708
125	7	1	460	468	2463	3557	0.40913621262458
126	1	2	490	493	1617	4253	0.27546848381601
127	3	7	350	360	2782	3180	0.46662193894666
128	4	6	840	850	3392	2586	0.56741385078622
129	4	4	560	568	2798	3392	0.45201938610662
130	7	10	310	327	4290	1808	0.70350934732699
131	1	7	870	878	2383	3745	0.38887075718016
132	5	7	630	642	3854	2136	0.64340567612688
133	4	4	370	378	2523	3486	0.41987019470794
134	2	1	980	983	2095	3842	0.35287182078491
135	1	10	70	81	2430	3547	0.40655847415091
136	5	3	170	178	2209	3676	0.37536108751062
137	6	10	700	716	4652	1356	0.77430093209055
138	6	6	920	932	4135	1857	0.6900867823765
139	3	2	190	195	1837	4260	0.30129571920617
140	4	5	940	949	3288	2677	0.5512154233026
141	3	7	850	860	3235	2755	0.54006677796327
142	1	3	390	394	1729	4143	0.29444822888283
143	6	9	230	245	3901	2201	0.63929859062602
144	4	1	950	955	2697	3187	0.45836165873555
145	3	4	950	957	2762	3157	0.4666328771752
146	2	8	160	170	2549	3373	0.43042890915231
147	1	5	580	586	1970	3929	0.33395490761146
148	5	7	150	162	3035	2934	0.50846037862288
149	3	3	770	776	2461	3511	0.41208975217683
150	7	4	260	271	2687	3296	0.449105799766
151	7	1	930	938	3616	2403	0.60076424655258
152	1	1	790	792	1656	4349	0.27577019150708
153	7	7	430	444	3774	2231	0.62847626977519
154	6	1	180	187	1994	3958	0.33501344086022
155	1	5	970	976	2097	3833	0.35362563237774
156	1	2	390	393	1703	4328	0.28237439893882
157	6	8	610	624	4294	1672	0.71974522292994
158	7	5	910	922	4082	1842	0.68906144496962
159	5	3	270	278	2285	3808	0.37502051534548
160	7	2	550	559	2752	3184	0.46361185983827
161	2	6	860	868	2579	3285	0.43980218281037
162	4	4	950	958	3329	2669	0.55501833944648
163	2	1	880	883	2001	3989	0.33405676126878
164	4	4	360	368	2414	3600	0.40139674093781
165	2	10	550	562	3037	3044	0.49942443677027
166	4	10	240	254	3498	2484	0.58475426278837
167	6	10	800	816	4835	1218	0.79877746571948
168	3	3	470	476	2164	3946	0.35417348608838
169	4	6	840	850	3407	2526	0.57424574414293
170	3	3	280	286	2018	3956	0.33779712085705
171	4	5	70	79	2368	3588	0.39758226997985
172	5	9	230	244	3648	2350	0.60820273424475
173	3	5	950	958	3029	2972	0.50474920846526
174	1	7	570	578	2361	3767	0.38528067885117
175	7	10	500	517	4595	1437	0.76177055702918
176	3	4	950	957	2788	3208	0.46497665110073
177	1	3	590	594	1713	4171	0.29112848402447
178	3	3	80	86	1948	4094	0.32240979808011
179	2	10	750	762	3059	2947	0.50932400932401
180	7	2	360	369	2442	3656	0.40045916693998
181	2	3	280	285	1892	4160	0.31262392597488
182	3	8	740	751	3375	2596	0.56523195444649
183	5	8	720	733	4315	1702	0.71713478477647
184	3	1	380	384	1819	4156	0.30443514644351
185	6	8	40	54	3376	2590	0.56587328193094
186	5	7	630	642	3805	2154	0.63852995469038
187	7	4	550	561	3244	2802	0.53655309295402
188	7	8	900	915	4910	1049	0.82396375230743
189	6	7	720	733	4123	1865	0.68854375417502
190	7	2	550	559	2772	3172	0.46635262449529
191	2	7	760	769	2763	3244	0.45996337606126
192	5	10	610	625	4263	1721	0.71239973262032
193	1	5	180	186	1921	4063	0.32102272727273
194	7	10	120	137	3972	1932	0.67276422764228
195	7	7	810	824	4495	1493	0.75066800267201
196	7	4	450	461	3095	2943	0.51258694932097
197	7	7	330	344	3608	2411	0.59943512211331
198	6	9	20	35	3697	2394	0.60696109013298
199	5	2	950	957	3342	2618	0.56073825503356
200	6	6	820	832	3849	1983	0.65997942386831
